,death,predicted_death,lower_bound,upper_bound,infected,symptomatic,hospitalized,confirmed,ICU,hospital_beds
2020-02-10,,,,,146.2907825933343,,,0.0,,
2020-02-11,,,,,332.0695018758652,,,1.0,,
2020-02-12,,,,,567.9950463730893,,,1.0,,
2020-02-13,,,,,867.6034340359574,,,2.0,,
2020-02-14,,,,,1248.084429212805,,,2.0,,
2020-02-15,,,,,1731.2677900660424,,,2.0,,
2020-02-16,,,,,2344.8757315005805,,,2.0,,
2020-02-17,,,,,3124.113462548804,,,2.0,,
2020-02-18,,,,,4113.68905387769,,,2.0,,
2020-02-19,,,,,5370.378523516977,,,2.0,,
2020-02-20,,,,,6966.2833103170415,,,2.0,,
2020-02-21,,,,,8992.967029774332,14.921659824520098,3.1891390605346883,4.0,,
2020-02-22,,,,,11566.708854904791,33.87108919133825,7.239115140893863,4.0,,3.1891390605346883
2020-02-23,,,,,14835.174930213128,57.93549473005511,12.382292010933348,4.0,,7.239115140893863
2020-02-24,,,,,18985.890585191453,88.49555027166765,18.913754861983872,4.0,,12.382292010933348
2020-02-25,,,,,24256.999433049652,127.30461177970608,27.208240556839147,4.0,,18.913754861983872
2020-02-26,,,,,30950.926648382854,176.5893145867363,37.741637823439724,4.0,1.1410681042280078,27.208240556839147
2020-02-27,,,,,39451.73034216079,239.17732461305917,51.11829094671266,5.0,2.5901421146317487,35.69356686713304
2020-02-28,,,,,50247.136553722274,318.65957317997794,68.10567348356393,5.0,4.430361361710097,46.469317920450536
2020-02-29,0.0,0.5266468173360035,0.37491419676491233,0.7397875903431227,63956.52209781161,419.59628349552423,89.67842137453364,13.0,6.767306785480468,60.153742834340676
2020-03-01,0.0,1.1954502067531148,0.8572738221955215,1.6670998074394585,81366.4507575781,547.7786093987315,117.0742518126701,19.0,9.208411730523874,77.00532648069421
2020-03-02,5.0,2.0447821669431216,1.4778128860501356,2.829580657749323,103475.80168095627,710.5608976523381,151.86497616491152,42.0,12.308438555762015,98.4056195969377
2020-03-03,6.0,3.1233723625294467,2.2760302017645238,4.287024372777938,131553.0791819681,917.2826370369817,196.04668124908045,62.0,16.245248538761402,125.58244493704379
2020-03-04,10.0,4.493103945166098,3.3026764902115886,6.114493706262059,167209.19204574515,1179.8043032002886,252.1542530369245,93.0,20.630291358459218,160.09504864554287
2020-03-05,11.0,6.232564044237752,4.622941093789841,8.406247516870854,212489.87798506353,1513.187842881739,323.40681347864626,163.0,26.198978767201243,203.92356061607512
2020-03-06,13.0,8.44155263340209,6.320531951220214,11.2806919483427,269993.07601925306,1936.5608396895282,413.8924147571737,211.0,33.27080924442769,259.5826026801208
2020-03-07,16.0,11.246808465175693,8.5028944049568,14.886628381232624,343017.9809111642,2474.2139421710644,528.8025876404824,326.0,42.25152276411981,330.26556279453393
2020-03-08,20.0,14.80928059395968,11.307879328663194,19.411147412013392,435754.3315277343,3156.9945181350513,674.7302009347463,440.0,53.656379764370314,420.02781283086813
2020-03-09,21.0,19.333362684661115,14.912251702076617,25.08961696038096,553522.7933752215,4024.0764949004006,860.0477214591053,508.0,68.13972375602032,533.4049606370539
2020-03-10,27.0,25.078619917141346,19.54253013560526,32.21834175333292,703080.2270429302,5125.207928479673,1095.387576871146,700.0,86.53252369869885,677.3857428978984
2020-03-11,31.0,32.37468130718759,25.48876911442561,41.1706411810771,893007.3570604504,6523.565253976785,1394.2521817322936,1098.0,109.89005010464702,860.2309287362535
