,death,predicted_death,lower_bound,upper_bound,infected,symptomatic,hospitalized,hospital_beds,ICU,confirmed
2020-02-10,,,,,146.2907825933343,,,,,0.0
2020-02-11,,,,,185.77871928253091,,,,,1.0
2020-02-12,,,,,235.9255444972241,,,,,0.0
2020-02-13,,,,,299.6083876628681,,,,,1.0
2020-02-14,,,,,380.48099517684744,,,,,0.0
2020-02-15,,,,,483.18336085323733,,,,,0.0
2020-02-16,,,,,613.6079414345381,,,,,0.0
2020-02-17,,,,,779.2377310482232,,,,,0.0
2020-02-18,,,,,989.5755913288854,,,,,0.0
2020-02-19,,,,,1256.6894696392872,,,,,0.0
2020-02-20,,,,,1595.9047868000646,,,,,0.0
2020-02-21,,,,,2026.6837194572904,14.921659824520098,3.1891390605346883,,,2.0
2020-02-22,,,,,2573.74182513046,18.94942936681815,4.0499760803591744,3.1891390605346883,,0.0
2020-02-23,,,,,3268.466075308337,24.06440553871686,5.143176870039486,7.239115140893863,,0.0
2020-02-24,,,,,4150.715654978324,30.56005554161254,6.531462851050525,12.382292010933348,,0.0
2020-02-25,,,,,5271.1088478582,38.80906150803843,8.294485694855275,18.913754861983872,,0.0
2020-02-26,,,,,6693.927215333204,49.28470280703021,10.533397266600575,27.208240556839147,1.1410681042280078,0.0
2020-02-27,,,,,8500.803693777932,62.58801002632289,13.376653123272934,35.69356686713304,2.5901421146317487,1.0
2020-02-28,,,,,10795.40621156149,79.48224856691877,16.987382536851268,46.469317920450536,4.430361361710097,0.0
2020-02-29,0.0,0.5266468173360035,0.37491419676491233,0.7397875903431227,13709.385544089337,100.9367103155463,21.572747890969705,60.153742834340676,6.767306785480468,8.0
2020-03-01,0.0,0.6688033894171113,0.4823596254306092,0.9273122170963358,17409.928659766487,128.1823259032073,27.395830438136464,77.00532648069421,9.208411730523874,6.0
2020-03-02,5.0,0.8493319601900068,0.6205390638546142,1.1624808503098645,22109.350923378162,162.7822882536066,34.79072435224141,98.4056195969377,12.308438555762015,23.0
2020-03-03,1.0,1.078590195586325,0.798217315714388,1.4574437150286152,28077.277501011817,206.72173938464363,44.18170508416894,125.58244493704379,16.245248538761402,20.0
2020-03-04,4.0,1.3697315826366507,1.0266462884470646,1.8274693334841212,35656.112863777045,262.5216661633069,56.10757178784404,160.09504864554287,20.630291358459218,31.0
2020-03-05,1.0,1.7394600990716544,1.3202646035782521,2.2917538106087956,45280.68593931837,333.3835396814504,71.25256044172176,203.92356061607512,26.198978767201243,70.0
2020-03-06,2.0,2.2089885891643375,1.697590857430373,2.874444431471845,57503.19803418954,423.37299680778904,90.48560127852747,259.5826026801208,33.27080924442769,48.0
2020-03-07,3.0,2.8052558317736036,2.182362453736587,3.605936432889925,73024.90489191115,537.6531024815363,114.91017288330876,330.26556279453393,42.25152276411981,115.0
2020-03-08,4.0,3.5624721287839876,2.804984923706394,4.524519030780766,92736.35061657007,682.7805759639867,145.92761329426386,420.02781283086813,53.656379764370314,114.0
2020-03-09,1.0,4.524082090701434,3.6043723734134234,5.678469548367568,117768.46184748724,867.0819767653492,185.31752052435897,533.4049606370539,68.13972375602032,68.0
2020-03-10,6.0,5.745257232480233,4.6302784335286455,7.12872479295196,149557.43366770862,1101.131433579272,235.33985541204052,677.3857428978984,86.53252369869885,192.0
2020-03-11,4.0,7.296061390046246,5.946238978820349,8.952299427744178,189927.1300175201,1398.3573254971122,298.86460486114754,860.2309287362535,109.89005010464702,398.0
2020-03-12,11.0,9.265470570469656,7.633272872600086,11.2466757477513,241193.72626330706,1775.8127232961817,379.5364447829095,1092.4310978094743,139.5524202443134,452.0
2020-03-13,9.0,11.766477871110014,9.794514785195773,14.135463014521786,306298.59769593034,2255.1537941845722,481.983850129644,1387.3085279721568,177.22148618095775,596.0
2020-03-14,7.0,14.942576357921967,12.560984402108485,17.77572370640383,388977.0783178376,2863.882305103205,612.0846495220577,1761.7815491004421,225.05847701675532,713.0
2020-03-15,13.0,18.975991852289518,16.098729385726653,22.367496101736894,493972.77230398275,3636.923512105259,777.3032604303397,2237.3352171976617,285.80799748729237,98.0
2020-03-16,28.0,24.098137975199535,20.6176179194547,28.16621474606864,627309.7140657214,4618.629965810474,987.1189534771406,2841.2540003434488,362.95549721335175,1392.0
2020-03-17,34.0,30.60289329760056,26.382108704626713,35.498946982205474,796637.991858898,5865.326199487333,1253.569717145332,3608.1872007445577,460.9272452680358,1781.0
2020-03-18,57.0,38.863462361621366,33.72441007289226,44.78562274235889,771967.7366480244,7448.540298974937,1591.9429266436632,4582.136927583073,585.344283421876,2773.0
2020-03-19,78.0,49.35378795872161,43.060586650876594,56.56672552148957,748061.4689677337,9459.107762890146,2021.6524434412277,5818.982678833261,743.3449284071423,5239.0
2020-03-20,97.0,62.675743175159354,54.91042044358805,71.53922244310989,724895.5296810674,12012.383108443699,2567.3524682752222,7389.68737767988,943.9943264814823,5326.0
2020-03-21,90.0,79.59366332416138,69.9222059765596,90.60285145299507,702446.992326323,15254.858234106281,3260.3520539560486,9384.368807021518,1198.804558119139,6339.0
2020-03-22,144.0,101.07819900364254,88.90412522475945,114.91932784885692,680693.6404275965,19372.56726178705,4140.411434381939,11917.470036986651,1522.395133373098,7938.0
2020-03-23,184.0,128.36200630959738,112.86430774119155,145.98773512710477,659613.9455079727,24601.760078857318,5258.023232540095,15134.325494135384,1933.331773241187,10089.0
2020-03-24,235.0,163.01046938154613,143.06202902910337,185.74050227252343,639187.0457835931,31242.456964984893,6677.309429771282,19219.49939471812,2455.191601369817,10263.0
2020-03-25,310.0,207.01151292308234,181.07275047919515,236.66601611393364,619392.7255175337,39675.66198841944,8479.700307328862,24407.374952171474,3117.915860520483,11936.0
2020-03-26,407.0,262.88965761088014,228.8700458008564,301.96599925051083,600211.395013046,50385.22277500624,10768.606436226824,30995.601905198564,3959.5277647012786,18036.0
2020-03-27,548.0,333.85086221965224,288.92812987846514,385.75821001467835,581624.0712263732,63985.59083470358,13675.351766632728,39362.173906378026,5028.314047199192,18174.0
2020-03-28,637.0,423.9664626509541,364.349812944794,493.3378721948132,563612.3589799362,81257.07516960759,17366.708222523976,49987.11557126064,6385.595368888197,19800.0
2020-03-29,625.0,538.4067612037511,459.0261961497156,631.5148088310094,546158.4327573207,78740.7091380985,16828.896658926937,63480.02346307636,8109.244536521905,19140.0
2020-03-30,806.0,683.7376680630724,577.8362298483878,809.0479180424351,529245.0190620318,76302.26983470883,16307.740023496597,75389.47371917832,10298.15438565126,21496.0
2020-03-31,1216.0,868.2974145479054,726.8963889397872,1037.2047675325982,512855.3793225596,73939.34402746888,15802.722547047273,85449.87241265786,13077.91166896966,26011.0
2020-04-01,1219.0,1102.6749517053493,913.8732946795246,1330.4820878312032,496973.2933268435,71649.59321728493,15313.344432713842,93318.92305887362,16608.002484374934,25493.0
2020-04-02,1562.0,1400.3174819442154,1148.3752983922705,1707.5332889725507,481583.0431697394,69430.75132361485,14839.121361321606,98557.07766201688,21090.96264776461,30399.0
2020-04-03,1297.0,1778.301980294338,1442.4430329928866,2192.362443983158,466669.3976975927,67280.62244181322,14379.584012073807,100601.4362236261,24914.299565601403,31942.0
2020-04-04,1266.0,2258.314970636597,1811.1639513989066,2815.8613154056243,452217.59743453993,65197.07866992649,13934.277598082332,102088.46534178719,27957.863392949497,33164.0
2020-04-05,1411.0,2867.8967706920325,2273.4421654469543,3617.7880450848456,438213.33997560776,63178.058002788435,13502.761416282237,102902.07473109505,30067.279443502324,27874.0
2020-04-06,1662.0,2779.083851932888,2256.5681674139114,3422.5897394117983,424642.76583216124,61221.56229133069,13084.608411284404,102893.77442139087,31044.76548402069,29637.0
2020-04-07,2305.0,2693.0212882838414,2230.296949385416,3251.7480065371706,411492.4447156838,59325.65526509006,12679.404752734938,102736.89986676947,31500.40638374633,30782.0
2020-04-08,2079.0,2609.623906851843,2191.7741273805646,3107.13446706829,398749.3622463245,57488.46061595349,12286.749425762611,102395.87841916064,31317.67307134864,31694.0
2020-04-09,2046.0,2528.8091723747625,2138.5620619731812,2990.268996162021,386400.907073059,55708.160141246706,11906.253834109591,101825.3950506539,30347.828555801454,34756.0
2020-04-10,2071.0,2450.4971055393476,2069.9502140809072,2901.0050693045355,374434.8583927021,53982.99194432724,11537.541415552292,100967.76696109552,29408.018148541756,33501.0
2020-04-11,2012.0,2374.6102038287017,1987.822784335349,2836.6581088428247,362839.37385544024,52311.24869090108,11180.2472692318,99749.60938492807,28497.311754439685,30015.0
2020-04-12,1740.0,2301.0733648209352,1896.0606959235222,2792.599752567158,351602.97784490045,50691.27591933803,10834.017794525189,98077.60127647179,27614.80808151621,28559.0
2020-04-13,1798.0,2229.8138118631214,1799.000752181387,2763.795195497632,340714.55012116575,49121.47040331342,10498.51034110032,95833.1079099308,26759.63374896822,25293.0
2020-04-14,2393.0,2160.7610220469655,1700.2751029434294,2745.96045446699,330163.3148154867,47600.27856515445,10173.392869807521,92865.35184764152,25930.942422816293,27035.0
2020-04-15,2515.0,2093.8466564149435,1602.4658096132068,2735.904750216335,319938.8297658092,46126.194938323075,9858.343624072972,89989.50114287788,25127.913978319688,29129.0
2020-04-16,2087.0,2029.0044923277703,1507.2360754150309,2731.396426238444,310030.97618256113,44697.76067751199,9553.05081146825,87202.70967400298,24349.75368832962,31298.0
2020-04-17,2590.0,1966.1703579263544,1415.5826957008217,2730.9078361362485,300429.94863446156,43313.56211488045,9257.212295141117,84502.21945796715,23595.69143677759,32724.0
2020-04-18,2345.0,1905.2820686233142,1328.0566400254706,2733.392275308314,291126.24534445454,41972.22936099975,8970.535294801908,81885.35792083554,22864.980956520405,28321.0
2020-04-19,1182.0,1846.2793655612145,1244.9208572856455,2738.123854017001,282110.65878615854,40672.4349491251,8692.736096969875,79349.53525284187,22156.899090787545,26058.0
2020-04-20,1770.0,1789.1038559766366,1166.255058018681,2744.590546864062,273374.26657151897,39412.89252145201,8423.539774192686,76892.24184535076,21470.745077500014,27341.0
2020-04-21,2396.0,1733.698955411062,1092.0234761897752,2752.424406186544,264908.4226206575,38192.35555605561,8162.679912960907,74511.04580719215,20805.83985575237,25497.0
2020-04-22,2335.0,1680.0098317113336,1022.118465912979,2761.356074440631,256704.74860517224,37009.6161332549,7909.898350048598,72203.59055790985,20161.525393771633,28201.0
2020-04-23,2320.0,1627.9833507643439,956.3886686345754,2771.1848511858097,248755.12565641565,35863.50374017984,7664.944917018831,69967.59249554205,19537.164037687882,34203.0
2020-04-24,1777.0,1577.568023912188,894.6573482881265,2781.758708886955,241051.68633055937,34752.8841123589,7427.5771926414145,67800.83873662619,18932.137880472124,36291.0
2020-04-25,2269.0,1528.7139569957806,836.7344152165111,2792.9607290133877,233586.80682247877,33676.65811117965,7197.560262977612,65701.18492619116,18345.848150416896,32921.0
2020-04-26,1147.0,1481.3728009764618,782.424352173123,2804.6997379080676,226353.09942075523,32633.760636112533,6974.666488894641,63666.55311556941,17777.714618554302,27688.0
2020-04-27,1340.0,1435.4977040867682,731.5314450689082,2816.9037330230904,219343.40519634067,31623.159570621232,6758.675280779833,61694.92970592922,17227.175024425203,22476.0
2020-04-28,2130.0,1391.0432654630124,683.8632183028172,2829.5151933923357,212550.78691763084,30643.854760715076,6549.372880231263,59784.36345549137,16693.684519631104,24525.0
2020-04-29,2620.0,1347.9654902137277,639.2326600432654,2842.487683098285,205968.52218494535,29694.877025134367,6346.55214850911,57932.96354845826,16176.715128618112,27408.0
2020-04-30,2039.0,1306.221745879585,597.459623770839,2855.7833559362743,199590.09677762535,28775.28719618817,6150.012361538257,56138.89772374442,15675.755226159308,29741.0
2020-05-01,1952.0,1265.7707202416416,558.3716646344532,2869.371097600258,193409.19820715042,27884.175190294933,5959.559011259114,54400.39046165639,15190.30903101847,34162.0
2020-05-02,1425.0,1226.5723804361967,521.804485982153,2883.2251252442757,187419.7094699045,27020.659107307063,5775.003613130334,52715.721226727466,14719.89611529396,29195.0
2020-05-03,1322.0,1188.5879333357523,487.6021164702584,2897.323919547682,181615.7029934101,26183.88435772757,5596.163519592756,51083.2227649682,14264.050928957215,25587.0
2020-05-04,1247.0,1151.779787156913,455.6169013371756,2911.6494015253543,175991.43477002994,25373.022816954395,5422.861739309862,49501.27945384766,13822.322339115359,22475.0
2020-05-05,2150.0,1116.11151425722,425.70936643203936,2926.1862915962183,170541.3386723363,24587.272005717055,5254.9267620061955,47968.32570337237,13394.2731835419,24185.0
2020-05-06,2388.0,1081.5478150840615,397.74799640357486,2940.9216058658044,165260.02094452764,23825.854295892834,5092.192388730038,46482.84440668057,12979.479838033632,25256.0
2020-05-07,2211.0,1048.0544832400365,371.60895650123,2955.844256772924,160142.2548644257,23088.016140917032,4934.497567372465,45043.36543861843,12577.531797165655,27882.0
2020-05-08,1509.0,1015.5983716301707,347.1757790360961,2970.944733879649,155182.97557078875,22373.027330026747,4781.6862332802275,43648.4642008123,12188.031268029563,27157.0
2020-05-09,1627.0,984.1473596574683,324.3390295816232,2986.2148467612064,150377.2750508067,21680.180265598345,4633.607154804353,42296.7602117971,11810.592776552678,25740.0
2020-05-10,734.0,953.670321434367,302.9959637194345,3001.6475164233157,145720.39728282247,21008.789262864426,4490.113783631809,40986.91574080559,11444.842786008832,19778.0
2020-05-11,1162.0,924.1370949786201,283.0501820494582,3017.236604943419,141207.73352947982,20358.189871317783,4351.064109752233,39717.63448386629,11090.419327343092,18878.0
2020-05-12,1691.0,895.5184523630963,264.4112889406452,3032.9767754462896,136834.81777662667,19727.73821712934,4216.32052091588,38487.660280900156,10746.971640944497,21952.0
2020-05-13,1743.0,867.7860707900138,246.9945588592595,3048.8633763234816,132597.32231346672,19116.81036593026,4085.749666443919,37295.775872545964,10414.159829512479,21195.0
2020-05-14,1777.0,840.9125045609236,230.72061290836413,3064.8923449582694,128491.05344958954,18524.801705327827,3959.2223252563404,36140.801695484355,10091.654521673223,27617.0
2020-05-15,1633.0,814.8711579147189,215.51510732619712,3081.0601272431563,124511.94736463064,17951.126346543053,3836.613277986653,35021.5947150682,9779.13654601315,25300.0
2020-05-16,1222.0,789.6362587068264,201.3084350379308,3097.363609960152,120656.06608645977,17395.216544578303,3717.801183056932,33937.04729410419,9476.296615206962,25101.0
2020-05-17,809.0,765.1828329034711,188.0354408738293,3113.80006369678,116919.5935939197,16856.522136341817,3602.668456590703,32886.08609666567,9182.835019927557,19004.0
2020-05-18,790.0,741.4866798658032,175.63515071292335,3130.3670944381033,113298.83204025237,16334.50999617142,3491.1011560444804,31867.671025852414,8898.461332234932,21708.0
2020-05-19,1569.0,718.5243483994512,164.05051455251564,3147.06260234,109790.19809347703,15828.663508220452,3382.988867443195,30880.79419444566,8622.894118150556,20498.0
2020-05-20,1523.0,696.2731135457415,153.22816331626493,3163.884746474806,106390.21939010342,15338.482055182281,3278.2245961075864,29924.478927439945,8355.860659132708,23612.0
2020-05-21,1245.0,674.7109540916563,143.11817907964232,3180.831914567224,103095.5310986625,14863.48052284789,3176.7046607655298,28997.778795464426,8097.09668217714,25537.0
2020-05-22,1276.0,653.8165307762763,133.67387829788777,3197.9026969181623,99902.87258965785,14403.188820006942,3078.3285909426604,28099.776678137237,7846.346098276028,24137.0
2020-05-23,1110.0,633.5691651721078,124.85160755836637,3215.0958638576485,96809.08420864546,13957.15141321592,2982.9990275304617,27229.583856425827,7603.360748976246,21827.0
2020-05-24,633.0,613.9488192204108,116.61055133892712,3232.4103461837267,93811.10414923928,13524.926875973606,2890.621626433575,26386.33913311505,7367.900160786258,20789.0
2020-05-25,502.0,594.9360754002995,108.91255123083936,3249.845218137614,90905.96542295878,13106.087451858133,2801.1049652010524,25569.20798051254,7139.73130718854,18970.0
2020-05-26,698.0,576.5121175119325,101.72193607476711,3267.3996825404324,88090.79292291019,12700.218631192325,2714.360452548948,24777.381714547948,6918.628378021935,18848.0
2020-05-27,1505.0,558.6587120548395,95.00536245782476,3285.073057779458,85362.80057840065,12306.918740818895,2630.302240684823,24010.076694448675,6704.372556005819,18366.0
2020-05-28,1193.0,541.3581901829041,88.7316650264178,3302.8647663813695,82719.28859767008,11925.798546579808,2548.8471403474496,23266.53354719992,6496.751800184856,22836.0
2020-05-29,1176.0,524.5934302181608,82.87171608146697,3320.7743249521095,,11556.48086810574,2469.914538477502,22546.016416021663,6295.560636079975,24488.0
2020-05-30,941.0,508.3478407061274,77.39829393819814,3338.801335297218,,11198.600205534656,2393.4263184377996,21847.812232118864,6100.599952338025,24246.0
2020-05-31,605.0,492.605343995856,72.28595955082807,3356.945476564485,,10851.80237779055,2319.3067827042546,21171.230008983963,5911.676803678703,20129.0
2020-06-01,771.0,477.35036032848024,67.51094092233943,3375.206498274852,,10515.744172063574,2247.482577950843,20515.600158553403,5728.604219943846,17354.0
2020-06-02,1031.0,462.56779241852234,63.05102484040727,3393.5842141271537,,10190.093004145101,2177.8826224545414,19880.27382854152,5551.201021060086,20891.0
2020-06-03,983.0,448.2430105126703,58.8854555019259,3412.0784964784852,,9874.526589281837,2110.4380357484715,19264.622260295648,5379.291637731716,19881.0
2020-06-04,1035.0,434.3618379112552,54.99483961010341,3430.689271416328,,9568.732623222408,2045.0820704534167,18668.036166537328,5212.705937686334,21295.0
2020-06-05,970.0,420.9105369381109,51.36105754944072,3449.4165143501423,,9272.408473141795,1981.7500462205016,18089.925128373496,5051.279057301325,25311.0
2020-06-06,675.0,407.8757953449085,47.96718026487276,3468.2602460597864,,8985.260878136838,1920.3792857194421,17529.71701098105,4894.851238444506,22684.0
