country,lockdown_date,Note,relax_date
Albania,2020/03/13,Stay at home order,2020/06/01
Argentina,2020/03/20,Stay at home order,2020/05/10
Armenia,2020/03/24,,2020/05/04
Algeria,2020/03/20,Stay at home order,2020/04/15
Australia,2020/03/23
Austria,2020/03/16,Stay at home order,2020/04/13
Azerbaijan,2020/03/31,,2020/04/20
Bangladesh,2020/03/31,
Belgium,2020/03/22,Stay at home order,2020/05/04
Bolivia,2020/03/22,,2020/04/15
Brazil,2020/03/24,,2020/05/10
Bulgaria,2020/03/15,Stay at home order,2020/04/17
Canada,2020/03/23,Limit transportation,2020/04/15
Chile,2020/03/19,,2020/04/18
China,2020/01/23,Stay at home order
Colombia,2020/03/25,,2020/06/30
Costa Rica,2020/03/23,
Croatia,2020/03/17,Stay at home order
Cuba,2020/03/23,
Cyprus,2020/03/24,Stay at home order
Czechia,2020/03/16,Stay at home order
Denmark,2020/03/16,Educational facilities closed
Dominican Republic,2020/03/19,
Ecuador,2020/03/24,,2020/04/21
Egypt,2020/03/21,
El Salvador,2020/03/12,,2020/04/02
Estonia,2020/03/27,Limit transportation
Finland,2020/03/16,Educational facilities closed,2020/04/15
France,2020/03/16,Stay at home order,2020/05/11
Georgia,2020/03/31,,2020/04/21
Germany,2020/03/16,,2020/05/10
Ghana,2020/03/30,,2020/04/12
Greece,2020/03/23,Stay at home order,2020/05/04
Honduras,2020/03/27,,2020/05/17
Hungary,2020/03/28,Stay at home order,2020/04/10
India,2020/03/24,Stay at home order,2020/06/30
Iran,2020/02/27,Stay at home order,2020/04/20
Iraq,2020/03/22,,2020/04/11
Ireland,2020/03/27,Stay at home order,2020/05/05
Israel,2020/03/30,
Italy,2020/02/29,Stay at home order,2020/05/18
Japan,2020/04/15,Stay at home order
Jordan,2020/03/18,,2020/04/30
Kuwait,2020/03/14,,2020/03/29
Latvia,2020/03/12,Educational facilities closed
Lebanon,2020/03/11,,2020/04/10
Lithuania,2020/03/17,Stay at home order,2020/04/27
Luxembourg,2020/03/21,NA
Malaysia,2020/03/16,Stay at home order,2020/06/09
Malta,2020/03/13,Educational facilities closed
Mexico,2020/03/23,,2020/06/01
Morocco,2020/03/19,,2020/06/10
Nepal,2020/03/24,,2020/06/14
Netherlands,2020/03/15,Educational facilities closed
New Zealand,2020/03/26,,2020/05/14
Nigeria,2020/03/30,,2020/04/12
Norway,2020/03/24,Stay at home order
Pakistan,2020/03/24,,2020/05/09
Panama,2020/03/25,
Paraguay,2020/03/20,,2020/05/03
Peru,2020/03/16,,2020/06/30
Philippines,2020/03/27,,2020/05/15
Portugal,2020/03/19,Stay at home order,2020/04/02
Poland,2020/03/24,Stay at home order
Romania,2020/03/25,Stay at home order,2020/05/12
Russia,2020/03/30,Stat at home order,2020/04/30
Rwanda,2020/03/21,,2020/04/19
San Marino,2020/03/14,
Saudi Arabia,2020/03/26,
Serbia,2020/03/15,,2020/05/04
Singapore,2020/04/10,,2020/06/01
Slovakia,2020/03/12,Educational facilities closed
Slovenia,2020/03/20,Stay at home order
South Africa,2020/03/26,,2020/04/30
Spain,2020/03/05,Stay at home order,2020/05/09
Sweden,2020/03/24,
Switzerland,2020/03/15,Stay at home order
Taiwan*,2020/03/11,
Thailand,2020/03/25,,2020/05/31
Tunisia,2020/03/23,,2020/04/19
Turkey,2020/03/18,,2020/04/27
Ukraine,2020/03/17,,2020/04/24
United Arab Emirates,2020/03/26,,2020/04/17
United Kingdom,2020/03/13,Stay at home order
US,2020/03/17,
Venezuela,2020/03/17,,2020/05/13
Zimbabwe,2020/03/20,
